"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
407,7,M/s JSW Energy Limited,"Please provide details regarding Heavy Water and safeguard for the user in case of non-
availability?",Relevant information will be shared on signing of NDA.
408,8,M/s JSW Energy Limited,"It is mentioned in the RfS that the generation can be utilized for captive consumption only, however please clarify whether the consumption can be utilized in the group
captive structure as well?",The structure of ' group captive' contemplated in your query may please be elaborated.
409,9,M/s JSW Energy Limited,"Please share a status on implementation of new design as per latest RAPP and KAIGA
standards. If the design is complete then has NPCIL received approval AERB? If yes, kindly share the PSAR.",220 MWe BSR design is based on standard 2x220 MWe PHWRs under operation at KGS-3&4/RAPS-5&6.
410,10,M/s JSW Energy Limited,"Kindly share the initial PSAR status of AERB review, when can we expect AERB approval
on the design if not approved yet?",Query not relevant to RFP
411,11,M/s JSW Energy Limited,"What are the necessary changes needed in the design of 220 MWe reactor to fulfil
AERB requirements?",Query not relevant to RFP
412,12,M/s JSW Energy Limited,"In case Phase 2 of NPCIL's new decision is yet to start, how much time will it take for
the design to complete?",Query not relevant to RFP
413,13,M/s JSW Energy Limited,"Does NPCIL has a dedicated team of engineers working on the tender or it is a common
pool of engineers working on all the projects being run by NPCIL?",Query not relevant to RFP
414,14,M/s JSW Energy Limited,Is the present 220 MWe PHWR suitable for captive power plant?,User to assess suitability
415,15,M/s JSW Energy Limited,Will these reactors come under IAEA safeguard standards?,Query not relevant to RFP
416,16,M/s JSW Energy Limited,"If all requirements of AERB has to be met, what would be a suitable timeframe that can
be expected in terms of Engineering?",Query not relevant to RFP
417,17,M/s JSW Energy Limited,Can the Company quote for 2 sites simultaneously?,Allowed as per RFP terms & conditions
418,18,M/s JSW Energy Limited,"When shall the User receive a status on various procurement packages with a list?
Please share a list of approved vendors for different packages",Relevant documents will shared after signing NDA
419,19,M/s JSW Energy Limited,What are various approvals required before start of project from various statutory bodies? Please share a comprehensive list of approvals,"Regulatory Clearances  as per RFP Annexure-1 Part-B.
Statutory clearances from applicable state/central government agencies and any other applicable statutory bodies for setting up NPPs will be required to be otained."
420,20,M/s JSW Energy Limited,What will the user's role/scope during construction and operation?,"Roles of USER and NPCIL during construction and operation are clearly
defined in RFP"
421,21,M/s JSW Energy Limited,Does the User has 100% obligation on procurement of equipements and materials?,"Procurement of equipements and materials is in scope of USER with
QA Coverage by NPCIL."
422,22,M/s JSW Energy Limited,"Who would be responsible for any delay in AERB clearance?
It is mentioned that the User can Indemnify NPCIL for approvals.",Not relevent to RFP
423,23,M/s JSW Energy Limited,"Why does the User has to bear cost for building AFR? If the AFR is required, then it shall be NPCIL's obligation to build the same. The onus of the fuel after SFSB (Spent Fuel
Storage Bed) should be with NPCIL.","Regarding AFR facility, conditions provided in RFP will be applicable."
424,24,M/s JSW Energy Limited,"Clarity is needed on the land required for setting up the Pump House, Township, CISF Colony. How far it should be away from the plant?","Location of Pump house is dependent on ""Location of water intake source"" and land required for Pump house has to acquired by USER Township & CISF Colony are located beyond 5 km from plant."
425,25,M/s JSW Energy Limited,Details on fuel is required - whether it is 17 Pin / 19 Pin Fuel?,Query not relevant to RFP
426,26,M/s JSW Energy Limited,"What can be the total Manhours / Expenditure by NPCIL from Pre-Project activities to
commercial operations?",Not Relevant to RFP
427,27,M/s JSW Energy Limited,Can the User handle procurement for BOP (other than the Nuclear Island)?,"Complete procurement for Nuclear Island  and BOP is in scope of
USER."
428,28,M/s JSW Energy Limited,Emergency full core unload - Is it for one unit or both the units?,Emergency full core unload is for full core of any one unit.
429,29,M/s JSW Energy Limited,What could be the Decommissioning costs? What is the scope of decommissioning?,RFP terms & conditions shall prevail.
430,30,M/s JSW Energy Limited,"For how many years does the plant is to be kept under S/D condition after the decision
on decommissioning is taken?","The plant is permanently shutdown after decision on
decommissioning is taken."
431,31,M/s JSW Energy Limited,"If NPCIL is not able to deliver approvals/documents in time, Is there any provision of
penalty?",RFP terms & conditions shall prevail.
432,32,M/s JSW Energy Limited,"What is the final expected PLF, Is there any penalty for shortfall?",The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs. Actual Plant availability depends upon mutiple factors.
433,33,M/s JSW Energy Limited,"After Synchronisation of the plant, how much time does the NPP take to become
commercial & come to 100% power. Is there any penalty for Shortfall?",The time will depend on regulatory  and Statutory approvals
434,34,M/s JSW Energy Limited,"Can NPCIL transfer the operations to the User post 10 years, when the User has gained
complete knowledge on operating the plant?",Operation is under NPCIL scope for entire life of the plant.
435,35,M/s JSW Energy Limited,What is the average PLF of NPCIL operating plants? Can the normative PLF be set in line with that?,The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs. Actual Plant availability depends upon mutiple factors.
436,36,M/s JSW Energy Limited,Can NPCIL share a sample Preliminary Site Analysis Report?,Not relevant to RFP
437,37,M/s JSW Energy Limited,"We need detailed L4 Network, Within how much time detailed site evaluation report gets prepared",Time required for preparation of detailed site evlaution report depends on the detailed site studies/investigation to be carried out by USER. Project execution is also in the scope of USER.
